Folder,RelaxArea,c0Insertion,Col1,Col2,Col3,Col4,Col5,Ngags,Height
_c0low_61,68000.0,-0.03,94.9163, 76848.3, 1145.45, 78246.2, 0.560299,161,31.334109
_c0low_62,70000.0,-0.03,106.28, 39476.9, 910.361, 40502.9, 0.464177,161,31.656766
_c0low_63,72000.0,-0.03,103.711, 19963.3, 0, 20161.1, 0.293366,161,31.848466
_c0low_64,74000.0,-0.03,108.683, 3410.91, 0, 3520.61, 0.0251176,161,32.054173
_c0low_65,76000.0,-0.03,43.2096, 0.00043366, 2.83253e-21, 43.2113, 0.000290716,161,32.464066
_c0low_66,78000.0,-0.03,62.358, 0.00134956, 0, 62.3653, 0.000546562,161,33.011071
_c0low_68,82000.0,-0.03,285.921, 21598.5, 0, 22102.9, 0.424418,161,33.476003
_c0low_71,68000.0,-0.04,131.09, 75922.4, 1481.46, 77684.4, 0.080269,161,31.325411
_c0low_72,70000.0,-0.04,140.545, 40296.8, 798.045, 41244.5, 0.156625,161,31.709709
_c0low_74,74000.0,-0.04,138.017, 3510.66, 0, 3653.12, 0.0461359,161,32.077003
_c0low_75,76000.0,-0.04,58.6336, 0.000266439, 0, 58.636, 0.000218404,161,32.537077
_c0low_76,78000.0,-0.04,68.1207, 0.000534846, 0, 68.1271, 0.000481005,161,33.098777
_c0low_78,82000.0,-0.04,302.085, 21588.6, 0, 22116.8, 0.126067,161,33.477034
_c0lown_01,68000.0,-0.03,94.9163, 76848.3, 1145.45, 78246.2, 0.560299,161,31.334109
_c0lown_02,70000.0,-0.03,106.28, 39476.9, 910.361, 40502.9, 0.464177,161,31.656766
_c0lown_03,72000.0,-0.03,103.711, 19963.3, 0, 20161.1, 0.293366,161,31.848466
_c0lown_04,74000.0,-0.03,108.683, 3410.91, 0, 3520.61, 0.0251176,161,32.054173
_c0lown_05,76000.0,-0.03,43.2096, 0.00043366, 2.83253e-21, 43.2113, 0.000290716,161,32.464066
_c0lown_06,78000.0,-0.03,62.358, 0.00134956, 0, 62.3653, 0.000546562,161,33.011071
_c0lown_08,82000.0,-0.03,285.921, 21598.5, 0, 22102.9, 0.424418,161,33.476003
_c0lown_11,68000.0,-0.04,131.09, 75922.4, 1481.46, 77684.4, 0.080269,161,31.325411
_c0lown_12,70000.0,-0.04,140.545, 40296.8, 798.045, 41244.5, 0.156625,161,31.709709
_c0lown_14,74000.0,-0.04,138.017, 3510.66, 0, 3653.12, 0.0461359,161,32.077003
_c0lown_15,76000.0,-0.04,58.6336, 0.000266439, 0, 58.636, 0.000218404,161,32.537077
