x,y,z
-31.121617294656012,1.8054947728130453,39.09200846196461
-31.858900868434315,19.6052055333708,33.175990587314224
-10.059294221466907,38.71447532598062,30.00000000000001
-2.6146501362491046,32.955394744203964,37.51140575769863
-14.195746029727207,23.645928376442075,41.70552560363741
14.855988475061647,34.11493147715373,33.39866848750023
34.0030195614932,-13.966155810871955,33.893084140679186
-5.591836789214996,-10.177295603442403,48.632849140503104
-17.31538471244328,20.226422475827942,42.32102652452333
29.177350472662937,16.408583797572042,37.140821169616764
8.578556930627215,-26.110819916637396,41.76880946674109
-12.694595217220586,-31.305027886949624,36.86248067165619
39.33423947255629,-7.267572161017349,30.0
28.35908733040642,-9.416510091495901,40.088545789079674
24.270866281643265,28.14092489165626,33.451657599897096
-34.39687943951932,-0.22387925042205195,36.287801847237915
-35.800943646686214,10.011127347063045,33.43755019805853
-7.626085161853492,-32.2690153769421,37.42396921368486
-33.77449137928966,-6.537842190416301,36.28416116659584
10.009177582451132,1.2799473265138388,48.97119662581575
12.824328356149254,11.102332902975162,47.034825462896976
37.97507022313172,-12.565589582196857,30.0
23.09535807612274,-18.453035514182226,40.324805215251835
8.753888014534395,9.55424188176491,48.29167533533829
12.705707182566513,5.847481258776109,48.00387450945121
-28.17195397917851,4.917147561818037,41.01417643754846
5.306418649122715,0.0692902202394825,49.71757355287586
-17.917832745854255,-30.273081793839076,35.53156045539123
-0.4096834755654516,-17.670047294612225,46.77180334406634
-28.596657940270006,-19.41703072454388,36.12769121448686
39.76592357868425,4.321032507890183,30.00000000000001
-11.149956589049166,-23.580719290361998,42.657099594457534
-15.675276116279143,-33.86835882669629,33.27491531265786
-20.152981983230344,27.467410904111993,36.59779577253612
2.7317729919469413,13.651788601313498,48.022558077486
-39.31165974135692,-7.388735235463369,30.00000000000001
-2.7377029127724475,-34.37774567040209,36.203253795516055
-1.5105012779671583,-6.380464837293463,49.56821617074112
-1.4684959536306552,-26.57225876154851,42.32916942184761
-1.7478474712107388,29.188238395777613,40.55849810543575
11.902505562884299,-8.403807664481558,47.82997363645426
-4.2246979492915955,-39.776273420687005,30.00000000000001
-24.030309569457046,15.186955283194855,41.132719472729995
-16.10835701651902,30.489574256784724,36.20644550171105
12.892710391169482,37.86526137199412,30.00000000000001
-35.98118862538258,-9.71381784996611,33.33160374002906
-27.022194606489194,-11.69248699702383,40.41146800690932
12.06837235787667,28.673376555670544,39.14322247245825
16.818612311346747,-11.239187584791798,45.725429930777885
-6.24852861237348,-28.457785472888666,40.633857018001585
16.364109009654882,22.396268168332526,41.60075850813621
-25.94465007702119,-30.44462403086831,30.0
-9.4942603403783,-38.8569044133616,30.00000000000001
-36.887327247900345,-4.31518673675752,33.4769211836038
-11.171565880325458,28.608432985143818,39.45571793689837
-5.091977440029274,8.008832899000803,49.091041558986255
-5.857080190135601,-19.67276474828043,45.59250967873052
-19.13674180339047,7.653817112243263,45.55440919123746
17.280598629223576,36.07465746220851,30.00000000000001
-19.653767800217864,16.06991576186606,43.07536672695485
-11.664612876746736,20.49840902334327,44.08800328827961
3.0932961253549864,22.49445300363079,44.54695391548461
28.01570553659396,-0.18620562788051967,41.41359161858585
-30.186239394680186,26.24482713235235,30.00000000000001
24.426147336590983,19.320698115995402,39.1161597118342
-16.335128973829203,3.3901560353383955,47.13459879392657
4.605782072439712,36.97538224353928,33.34078402565473
0.7353314359107637,-39.99324052486072,30.00000000000001
-13.70884462838455,-0.9527884506547054,48.074523119039995
-32.99085364051592,5.82277189795911,37.117366602365465
17.781556158640402,-33.000939452119546,33.08707082614986
-18.819434255498443,35.29630142526227,30.0
34.33000149082548,-5.957249223392162,35.860314824751796
-16.876112778004323,12.272953746865442,45.437555214066926
12.14786916163548,20.209317099705682,44.090960266196625
-26.775019606927522,29.716970320822522,30.00000000000001
11.280550793357923,32.42969398143108,36.34644579693047
-9.74778767679172,8.208495623447511,48.34874595072793
-26.244059151082475,18.672503979305702,38.24378321266473
31.8824598476043,12.755675157644665,36.34283292945868
-1.2705845352914253,-11.932972525207404,48.53853913800171
-23.31203225194653,-14.637629681984764,41.7407348950313
-2.1549512908651876,3.160306977821825,49.85347174209564
13.956603478164382,-31.714234062857322,36.04747671002217
-0.5501066337261417,37.0327646491702,33.58975625292182
-6.890710327136262,3.499472408004184,49.39910732040727
-27.051218690005474,25.57689310105096,33.37744907393179
-1.0718752693740512,39.985635963517005,30.0
25.053219049944417,31.18230612439533,30.00000000000001
10.231144018329786,-17.070490771638998,45.86852991857906
-22.61297026562639,-1.7328059489240197,44.56064361417225
-1.2798660267086608,16.56361278427356,47.159396460157616
-14.895027686867726,34.17119439171955,33.323679629518075
7.681477869081158,18.41453758424324,45.84647972642294
1.7410452678908654,34.13940733383997,36.48930841040028
-28.758488234130347,-7.119745642161227,40.277271214399725
-20.43700699878737,-6.135257923074331,45.21821928325871
-22.074114295405042,19.845010903041548,40.23566850857031
18.270680023676576,-29.042210859032778,36.36938602577592
-6.919845006721161,21.27836827430728,44.71405582885441
20.082506699239488,11.24110949394174,44.38840368857855
3.9853481708325083,9.205157801327038,48.98348772606857
21.570434980721515,-33.68555083032584,30.00000000000001
-24.79082505117021,-22.86965521343277,36.910619931138775
5.695795753942861,-39.59239713290124,30.0
-14.104933601620337,-14.786958178701905,45.63328517557335
-5.875959396822085,-36.68819229157916,33.458177588491125
-19.6116144978966,31.705106150435185,33.31922599304385
3.649660824293206,26.80407531925624,42.05022618425801
37.38730391584314,1.4202645771727613,33.16884614265634
34.24269750595008,3.8169767818661793,36.23352530133791
-14.432572681484919,37.305506909753355,30.0
31.33238448698479,20.29789390727295,33.26074541090212
8.157092506332427,26.615332568769407,41.534153585897684
-29.837841281469608,-26.640255773205862,30.00000000000001
3.503018984509781,39.8463154883129,30.00000000000001
-9.684121977462466,25.00665725086598,42.20053168697452
28.13500701777453,24.599559431470936,33.21570495845763
16.780911811516315,8.52610719496776,46.321771283857785
35.47066044510533,11.334238800201014,33.367158680475896
7.147766006290443,-30.056000064078688,39.31343665043061
34.94491673658785,19.464141241599695,30.0
-6.361960743867496,-24.199752563658386,43.28853695092037
-29.068795545948888,-15.05642182785726,37.79297933809196
7.649940453411392,-12.709799960376666,47.74871093575689
-39.94201340743836,-2.1530362189276513,30.00000000000001
-9.007052318450446,-0.9166066593735333,49.1734973411968
-37.680188012571165,13.423987162437566,30.00000000000001
-28.12268828231637,13.59930088711924,39.04066366184447
31.057522019571838,-4.476042637004083,38.92807943266059
-10.257229071313859,16.440713507563654,46.09221399695189
30.030193365826552,-22.138096415105977,33.28801846800946
12.420084767954659,-28.545173873167904,39.12690305796554
-28.00510790547056,-1.3318973591097505,41.39975821943585
-19.121328881917826,-10.86418569419446,44.903722017129
2.8988851148891013,-33.457263160895444,37.04332607735519
20.35128688185201,27.718911815767825,36.29720443783852
36.121600490280564,-9.524845184643207,33.23412857634666
0.46435936061371325,-1.1009053456090783,49.98572173935493
-18.26986253948866,-1.3088674614440245,46.52417638987887
-23.4855118272746,-9.721209299132445,43.057273763830025
27.262554910421336,-4.749295856994563,41.64369446409619
37.193232960336935,14.719491226197544,30.00000000000001
21.439819724284288,1.610939706437306,45.14132257092623
16.18943086784843,-36.57734719980601,30.00000000000001
-5.138156553162452,36.328033130425005,33.968711428459244
-33.011909100285806,22.587913970848813,30.00000000000001
32.044504764514876,23.94054540725803,30.00000000000001
-5.735756198397312,17.14634968537875,46.6165613628811
12.452537598604977,-12.939112428020131,46.66383692893657
26.629192760843793,-26.164840094089236,33.260896496585374
-9.905929970912384,35.70533825850465,33.57084108653138
16.385115028460465,-6.635397325795618,46.77071207318682
21.111377795483918,-11.312377331672897,43.89008825101861
6.52346587474229,33.849358800237475,36.216920103645734
-5.606023004674049,39.605208067513864,30.00000000000001
17.628247119676505,4.03663054446927,46.61491732627094
-23.498526572298406,28.609105118531946,33.60562978501928
7.390007017139946,13.991279840474112,47.430284467965876
-20.27820374572519,-23.97510634273081,38.91000807891982
-11.651220148286331,3.673707215693244,48.48456398019405
25.33068962898207,2.9817467079759936,43.005410700162535
-14.443744951876301,-37.3011827126855,30.00000000000001
5.641666628996983,-17.779849964507104,46.390177116355986
-20.412058400961996,-19.66015214566891,41.19255138304578
-0.3963891022166692,7.669474217933569,49.406700364425234
-11.059855334486317,-27.81205126162117,40.05208364868413
39.9816033566047,-1.2130099072702913,30.00000000000001
-25.78302502848929,10.253373909351032,41.594518194773386
-25.26477757227122,-5.199431192046782,42.83289541348836
8.198111666851583,39.15087438484397,30.00000000000001
24.323540965764735,24.134616065080756,36.412712921147616
-39.84273905978694,3.543465001058702,30.0
-6.501196089777075,-5.57517314424286,49.261058594126666
7.708338908143443,22.66205250737809,43.89775492471159
2.7329970640006804,-9.420637881072995,49.02838268760103
29.615979896507017,-13.762825675798712,37.86130431175434
15.808543294802517,-16.105183769900407,44.617407081027146
21.35942803875375,15.52789001974587,42.45773740311625
15.953509792299528,30.445069513724057,36.31230187707071
26.27423061815508,7.30315863852742,41.908575248086215
-4.65290519952297,-15.251057946126334,47.38940498390066
31.302612834005494,-17.818385105482317,34.67926732209146
23.631371002297996,-2.5328911842267727,43.99025763507888
-25.92036903745652,-26.67514632615039,33.4151318632821
-36.117216808892934,-17.19147026811324,30.00000000000001
27.694033156692377,20.738901244272665,36.0962394536651
-10.281863624479882,-10.152212944214435,47.86664655835964
19.799544888399442,31.456114026381623,33.443847155665765
32.153682207634944,-9.853464315681192,37.00067514884042
-15.449315647818192,-19.085247685047168,43.55538964140353
-1.9603150770941173,12.05193757050425,48.48616261981542
32.73624125595478,8.192915699903201,36.894642439874715
-31.319471959839625,-10.47814389100525,37.540633675475014
33.54686209414824,16.093574962607747,33.40067197765825
-24.869091621193654,-18.414230599958675,39.273965846960515
-7.158634971669934,32.75114620169949,37.09604248187789
7.316253235327098,30.37080193633675,39.039554663704465
12.276763968596581,24.502641375104773,41.81987125879721
-34.16247372684462,14.915060037785944,33.323660857293156
22.553206966580294,-26.17399331871249,36.14242561415307
8.593900528882832,-3.5051392527855447,49.13103777163932
20.692389382992744,-6.185131877183599,45.0951124323297
-20.812562785462127,2.9653414048431777,45.365669626424776
29.862891707310776,5.339350766483393,39.745427815912144
20.506256403656586,23.74304237359733,38.932780367616374
2.433687272374537,-29.533967153076766,40.27185059643106
-15.868426364424597,-23.22427747004047,41.33794843375038
-5.038156261729015,25.233363238754844,42.870670173715
20.241958581732433,-15.840674740131952,42.88748228274509
-37.969223577013295,-12.583245247501853,30.00000000000001
-15.9573741919596,-27.26460559789529,38.75568978213391
-6.453624325132316,29.123117408930028,40.127232217731354
25.04139182888061,-13.55158576803137,41.100890725678454
2.754806871727663,4.020926285161766,49.76186482547431
3.061483460632979,18.27144060068405,46.44116468604061
-30.321598084967874,16.41474381546122,36.20990023524575
17.84411350317596,-20.626129842597663,41.9064479645087
3.5122834123424087,-4.691838762774023,49.655317079397605
31.487309182929497,0.9248943166719383,38.82903463803333
-14.799254381247117,-10.204553003961346,46.65671621265776
-14.918965072124598,16.694244967170146,44.70712097812652
28.65095774902781,27.91276804731883,30.0
-39.09187801331639,8.47496745669212,30.00000000000001
2.570771130723291,30.627665188701325,39.43776440015652
-9.373438193367626,-14.78066924230559,46.83663601481941
3.0064307358016515,-21.416808357454062,45.080835107736334
22.44108123282157,-30.00318115819124,33.10901680042254
25.81923709597745,14.935938092991474,40.128353430760505
34.571605772841494,-1.266123689768448,36.09987541653628
24.146226640501265,11.197247617227069,42.32707626123082
21.298182528714825,33.858343446978424,30.00000000000001
16.385905205062922,13.832588723746637,45.16814806708782
7.449058923914377,5.178560072601894,49.170052234286935
16.377870280399463,26.513710119987515,39.09972558409687
-36.417843935202676,5.274602057300477,33.851428570273704
11.857952615256908,15.72266274983668,45.95853387379998
-11.662085079368191,32.15674187690333,36.468338644141575
21.72195589079655,6.704153802473786,44.53325671979387
33.730687721921974,-21.499783854871236,30.0
-21.846395615125036,-31.36748367967136,32.230668100940704
-6.941371815052469,12.591815966299128,47.888031155979355
-29.76579312246726,8.845935992635352,39.18860773496144
-33.35418335766998,-22.079367122789797,30.00000000000001
-15.953124934999856,-5.65188200448863,47.048422233010356
-33.48936227371718,-13.785512698435435,34.47350075262163
-19.520230428206638,-34.91361631268975,30.00000000000001
2.924910422022328,-14.23968038437366,47.84011289257195
-37.52176112003373,0.6867487137546102,33.04006384157395
17.22026004077473,-25.493416714681576,39.41507767770718
10.684191084552989,-38.54669974029889,30.00000000000001
-10.64282253119862,-19.235376355933283,44.90802406046178
37.475001813200976,-3.9543051867240044,32.863166457157334
12.233321786260028,-35.361985244775695,33.16437603245509
-35.62254594795898,18.19434583010753,30.00000000000001
7.302304769318185,-8.03068324673505,48.80762718721944
-10.66069875786661,-35.187115006319985,33.885342546977924
6.101004820393669,-36.3981338634936,33.73356772469721
-21.50453910492637,11.509425139126405,43.64731298546953
27.20939779946955,-17.711881473907816,38.02549047736877
-31.458414054429774,-3.366691677283214,38.717354924247694
13.215145375591458,-20.13595550223323,43.81670034032762
28.740463626796704,10.969223936461836,39.41651781612029
-18.87821683750336,-15.443871726061271,43.64744843796908
26.400477238908206,-30.050204684126356,30.0
-32.34256089767812,11.471300322301742,36.364378497308905
36.111288805210314,-17.203918763662312,30.00000000000001
-28.207101531539323,21.60217509485294,35.1810382786061
-1.7205729603362263,-22.283545164576534,44.72676205121983
8.884760412987983,-33.200755918720006,36.31488453553694
24.45024761314514,-8.247173980697069,42.827205290422626
-2.092321909610895,-30.889322965783297,39.261583204732005
30.430695417106467,-25.9609856598569,30.00000000000001
13.149573003070682,-3.4985549383731147,48.112876064314634
16.49513641390442,18.04106923885268,43.616857926787986
-32.51071807914798,-18.315869257098594,33.280356718866926
-23.828781135350894,23.826256365459322,36.93912150025978
-23.023312949093373,32.70973954112306,30.0
26.12329335117972,-22.07793381808971,36.47106226602483
0.6846440855105614,-36.937920587434945,33.69156103763263
-4.206655676722876,-1.4182094616750531,49.802537384558136
-29.4530218308191,-23.011781508918965,33.21110381813692
-1.8835470656333875,21.048667833291205,45.31452121445526
36.72867925496442,6.645064925613871,33.26931367371926
-0.5601768119067982,25.245215455078743,43.155130616950466
-21.763735909819992,-27.35379276522389,35.75066182051455
-23.67702158811003,6.609909560613382,43.53972604779093
20.334863158257296,19.751994676034055,41.18679456637616
8.277784859619109,-21.895968695364083,44.18195143618598
-12.135771705504103,12.279423820562409,46.92482067889968
38.811603799169696,9.67777921510282,30.0
21.43779723867168,-22.671074003770407,39.069722971492475
-14.542966356040186,7.96369327984331,47.170771871060815
-15.683765925549134,26.97988760902308,39.065395825424154
3.757742133094989,-25.537036637007045,42.82218039592709
9.876184695177779,35.9643499504806,33.302049614191944
-25.203955663442603,1.9642625615765459,43.138176729022845
18.343811076477806,-1.8067934036400202,46.478383069842835
-19.366728277645684,23.724370119458804,39.52320961479178
13.175120142521232,-24.226183809113305,41.70741213833804
-11.273696848218755,-5.447323215280196,48.40692542563235
14.477169802306324,0.982989247804107,47.84814820506528
